page,has_alt,asset_source,is_data_uri
analytics.html,yes,moxa-official,yes
article.html,yes,moxa-official,yes
article.html,yes,unclassified,yes
article.html,yes,unclassified,yes
backend-compliance.html,yes,moxa-official,yes
chatbot.html,yes,moxa-official,yes
chatbot.html,yes,unclassified,yes
compare-lv-hv.html,yes,moxa-official,yes
compare-quote.html,yes,moxa-official,yes
compare-quote.html,yes,unclassified,yes
compare-quote.html,yes,unclassified,yes
contact-distributor.html,yes,moxa-official,yes
demo-map.html,yes,moxa-official,yes
design-system.html,yes,moxa-official,yes
design-system.html,yes,unclassified,yes
homepage.html,yes,moxa-official,yes
homepage.html,yes,unclassified,yes
homepage.html,yes,unclassified,yes
homepage.html,yes,unclassified,yes
homepage.html,yes,unclassified,yes
homepage.html,yes,unclassified,yes
homepage.html,yes,unclassified,yes
homepage.html,yes,unclassified,yes
homepage.html,yes,unclassified,yes
homepage.html,yes,unclassified,yes
homepage.html,yes,unclassified,yes
homepage.html,yes,unclassified,yes
journey.html,yes,moxa-official,yes
manual.html,yes,moxa-official,yes
microsite.html,yes,moxa-official,yes
microsite.html,yes,unclassified,yes
microsite.html,yes,unclassified,yes
microsite.html,yes,unclassified,yes
microsite.html,yes,unclassified,yes
pdp.html,yes,moxa-official,yes
pdp.html,yes,unclassified,yes
product-category-ethernet-switches.html,yes,moxa-official,yes
product-category-ethernet-switches.html,yes,unclassified,yes
product-category-ethernet-switches.html,yes,unclassified,yes
product-category-ethernet-switches.html,yes,unclassified,yes
product-category-ethernet-switches.html,yes,unclassified,yes
product-category-ethernet-switches.html,yes,unclassified,yes
product-category-ethernet-switches.html,yes,unclassified,yes
product-model-eds-4008-lv-hv.html,yes,moxa-official,yes
product-model-eds-4008-lv-hv.html,yes,unclassified,yes
product-series-eds-4008.html,yes,moxa-official,yes
product-series-eds-4008.html,yes,unclassified,yes
products.html,yes,moxa-official,yes
products.html,yes,unclassified,yes
products.html,yes,unclassified,yes
products.html,yes,unclassified,yes
products.html,yes,unclassified,yes
search.html,yes,moxa-official,yes
video.html,yes,moxa-official,yes
video.html,yes,unclassified,yes
