source_page,href,type,result
analytics.html,homepage.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,products.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,products.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,products.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,microsite.html,internal,PASS
analytics.html,microsite.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,microsite.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,article.html,internal,PASS
analytics.html,article.html,internal,PASS
analytics.html,article.html,internal,PASS
analytics.html,video.html,internal,PASS
analytics.html,manual.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,contact-distributor.html#support,internal,PASS
analytics.html,contact-distributor.html#support,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,contact-distributor.html#distributor,internal,PASS
analytics.html,homepage.html#proof,internal,PASS
analytics.html,homepage.html#bond,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,demo-map.html,internal,PASS
analytics.html,design-system.html,internal,PASS
analytics.html,contact-distributor.html#contact,internal,PASS
analytics.html,#dashboard,in-page,PASS
analytics.html,#reports,in-page,PASS
analytics.html,#dashboard,in-page,PASS
analytics.html,#campaigns,in-page,PASS
analytics.html,#reports,in-page,PASS
analytics.html,#export,in-page,PASS
analytics.html,product-category-ethernet-switches.html,internal,PASS
analytics.html,products.html,internal,PASS
analytics.html,products.html,internal,PASS
analytics.html,homepage.html#solutions,internal,PASS
analytics.html,homepage.html#solutions,internal,PASS
analytics.html,homepage.html#solutions,internal,PASS
analytics.html,article.html,internal,PASS
analytics.html,article.html,internal,PASS
analytics.html,video.html,internal,PASS
analytics.html,contact-distributor.html#support,internal,PASS
analytics.html,contact-distributor.html#contact,internal,PASS
analytics.html,contact-distributor.html#distributor,internal,PASS
article.html,homepage.html,internal,PASS
article.html,product-category-ethernet-switches.html,internal,PASS
article.html,product-category-ethernet-switches.html,internal,PASS
article.html,product-category-ethernet-switches.html,internal,PASS
article.html,product-category-ethernet-switches.html,internal,PASS
article.html,product-category-ethernet-switches.html,internal,PASS
article.html,products.html,internal,PASS
article.html,product-category-ethernet-switches.html,internal,PASS
article.html,products.html,internal,PASS
article.html,product-category-ethernet-switches.html,internal,PASS
article.html,products.html,internal,PASS
article.html,product-category-ethernet-switches.html,internal,PASS
article.html,product-category-ethernet-switches.html,internal,PASS
article.html,product-category-ethernet-switches.html,internal,PASS
article.html,microsite.html,internal,PASS
article.html,microsite.html,internal,PASS
